title,author,year,link
Programming with Java,E. Balagurusamy,2001,https://openlibrary.org/works/OL22705232W
Effective Java,Joshua Bloch,2001,https://openlibrary.org/works/OL6223299W
Beginning programming with Java for dummies,"Barry A. Burd, Barry Burd",2003,https://openlibrary.org/works/OL3372614W
"Good Sports (Clifford the Big Red Dog Phonics Fun Reading Program, Book 2)",Francie Alexander,2003,https://openlibrary.org/works/OL816016W
C++ Programming,D. S. Malik,2004,https://openlibrary.org/works/OL8221396W
Excel VBA Programming For Dummies,John Walkenbach,2004,https://openlibrary.org/works/OL15170814W
C++ programming,"Larry Ullman, Andreas Signer",2005,https://openlibrary.org/works/OL5740518W
Core Python programming,Wesley Chun,2006,https://openlibrary.org/works/OL12409294W
C How to Program,"Paul J. Deitel, Harvey M. Deitel",2007,https://openlibrary.org/works/OL7943173W
Eloquent Javascript,Marijn Haverbeke,2009,https://openlibrary.org/works/OL15444205W
The Magicians,Lev Grossman,2009,https://openlibrary.org/works/OL2679341W
"SQL, PL/SQL the Programming Language of Oracle",Ivan Bayross,2010,https://openlibrary.org/works/OL19653033W
Game Programming Patterns,Robert Nystrom,2011,https://openlibrary.org/works/OL19650342W
Java how to program--early objects,"Paul J. Deitel, Harvey M. Deitel",2011,https://openlibrary.org/works/OL19543270W
The Program,Suzanne Young,2013,https://openlibrary.org/works/OL16557740W
Black Hat Python,"Justin Seitz, Tim Arnold",2014,https://openlibrary.org/works/OL19547345W
Fluent Python,Luciano Ramalho,2015,https://openlibrary.org/works/OL19932156W
The Go Programming Language,"Alan A. A. Donovan, Brian W. Kernighan",2015,https://openlibrary.org/works/OL17348524W
Core Python Programming,R. Nageswara Rao,2016,https://openlibrary.org/works/OL30906747W
Aplikasi Analisis Multivariate Dengan Program IBM SPSS 25 (9th ed),"Imam ghozali, 2018",2018,https://openlibrary.org/works/OL28215322W
The Rust Programming Language,"Steve Klabnik, Carol Nichols, Carol Nichols",2018,https://openlibrary.org/works/OL19080231W
Python Data Science,Programming Languages Programming Languages Project,2019,https://openlibrary.org/works/OL30212888W
Python,Computer Programming Academy,2019,https://openlibrary.org/works/OL21891033W
Computer Programming : This Book Includes,Computer Programming Academy,2020,https://openlibrary.org/works/OL21908706W
Python for Beginners : 2 Books in 1,Programming Languages ACADEMY,2021,https://openlibrary.org/works/OL30980985W
